brand,detailurl,factory,imgname,modelname,price,CA,asthma,atopy,allergy,CADR,anion,compound,filter,varietyfilter,HEPA,PM,peoung,size
인센AG,http://www.enuri.com/detail.jsp?modelno=13220658&cate=240616,인센AG,http://photo3.enuri.com/data/images/service/img_300/13220000/13220658.jpg,아이클린 헬스프리미엄,1463000,,,,,CADR,,복합식,,"프리필터 ,    탈취필터 ,    하이퍼HEPA필터",TRUE,,39.3,38 x 71 x 41cm
블루스카이,http://www.enuri.com/detail.jsp?modelno=13172747&cate=240616,삼성,http://photo3.enuri.com/data/images/service/img_300/13172000/13172747.jpg,AX90J9000WKD(사업자전용),1639150,CA인증,,,,,,복합식,,"프리필터 ,    탈취필터 ,    트루HEPA필터",TRUE,,42.9,36 x 189 x 32.7cm
O2케어,http://www.enuri.com/detail.jsp?modelno=11991889&cate=240616,메디슨,http://photo3.enuri.com/data/images/service/img_300/11991000/11991889.jpg,MC-1000,68260,,,,,,,복합식,,HEPA필터,TRUE,,,     
FIGARO,http://www.enuri.com/detail.jsp?modelno=280593&cate=240616,보성전자,http://photo3.enuri.com/data/images/service/img_300/280000/280593.jpg,FA-601A,1465380,,,,,,,복합식,,"프리필터 ,    탈취필터",FALSE,,69.8,50 x 175 x 29cm
클라로,http://www.enuri.com/detail.jsp?modelno=18779268&cate=240616,클라로,http://photo3.enuri.com/data/images/service/img_300/18779000/18779268.jpg,CK-S20W,424310,,,,,,,,,,FALSE,,6.9,26 x 47 x 23cm
쿠쿠,http://www.enuri.com/detail.jsp?modelno=18014156&cate=240616,쿠쿠,http://image.enuri.gscdn.com/webimage_300/2835800000/2835890000/2835892502.jpg,AC-12X20FH,189050,CA인증,,,,,,,필터식,"프리필터 ,    탈취필터 ,안심HEPA필터",TRUE,,11.3,43 x 55 x 27.6cm
에어세이브,http://www.enuri.com/detail.jsp?modelno=15023033&cate=240616,에어세이브,http://photo3.enuri.com/data/images/service/img_300/15023000/15023033.jpg,라인프렌즈 브라운 공기청정기 미니,29490,,,,,,음이온식,,,,FALSE,,7.5,     
청풍생활건강,http://www.enuri.com/detail.jsp?modelno=11943581&cate=240616,청풍생활건강,http://photo3.enuri.com/data/images/service/img_300/11943000/11943581.jpg,CP-1000,99650,,,,,,,,,(차량용),FALSE,,,    (차량용) 
블루에어,http://www.enuri.com/detail.jsp?modelno=12013624&cate=240616,블루에어,http://photo3.enuri.com/data/images/service/img_300/11772000/11772273.jpg,450E,1261800,,,아토피안심인증,,CADR,,,필터식,HEPA사일런트필터,TRUE,,10.2,50 x 59 x 27.5cm
블루에어,http://www.enuri.com/detail.jsp?modelno=2686171&cate=240616,블루에어,http://photo3.enuri.com/data/images/service/img_300/2686000/2686171.jpg,AV-503,1222000,,,,,CADR,,,필터식,HEPA사일런트필터,TRUE,,18.1,50 x 66 x 34cm
